filename,true_label,predicted,risk_score,is_correct,language
ai_as_001.wav,AI,AI_DETECTED,0.9,True,as
ai_as_002.wav,AI,AI_DETECTED,0.9,True,as
ai_as_003.wav,AI,AI_DETECTED,0.9,True,as
ai_as_004.wav,AI,AI_DETECTED,0.9,True,as
ai_as_005.wav,AI,AI_DETECTED,0.9,True,as
ai_as_006.wav,AI,AI_DETECTED,0.9,True,as
ai_as_007.wav,AI,AI_DETECTED,0.9,True,as
ai_as_008.wav,AI,AI_DETECTED,0.9,True,as
ai_as_009.wav,AI,AI_DETECTED,0.9,True,as
ai_as_010.wav,AI,AI_DETECTED,0.9,True,as
ai_as_011.wav,AI,AI_DETECTED,0.9,True,as
ai_as_012.wav,AI,AI_DETECTED,0.9,True,as
ai_as_013.wav,AI,AI_DETECTED,0.9,True,as
ai_as_014.wav,AI,AI_DETECTED,0.9,True,as
ai_as_015.wav,AI,AI_DETECTED,0.9,True,as
ai_as_016.wav,AI,AI_DETECTED,0.9,True,as
ai_as_017.wav,AI,AI_DETECTED,0.9,True,as
ai_as_018.wav,AI,AI_DETECTED,0.9,True,as
ai_as_019.wav,AI,AI_DETECTED,0.9,True,as
ai_as_020.wav,AI,AI_DETECTED,0.9,True,as
ai_bn_001.wav,AI,AI_DETECTED,0.9,True,bn
ai_bn_002.wav,AI,AI_DETECTED,0.9,True,bn
ai_bn_003.wav,AI,AI_DETECTED,0.9,True,bn
ai_bn_004.wav,AI,AI_DETECTED,0.9,True,bn
ai_bn_005.wav,AI,AI_DETECTED,0.9,True,bn
ai_bn_006.wav,AI,AI_DETECTED,0.9,True,bn
ai_bn_007.wav,AI,AI_DETECTED,0.9,True,bn
ai_bn_008.wav,AI,AI_DETECTED,0.9,True,bn
ai_bn_009.wav,AI,AI_DETECTED,0.9,True,bn
ai_bn_010.wav,AI,AI_DETECTED,0.9,True,bn
ai_bn_011.wav,AI,AI_DETECTED,0.9,True,bn
ai_bn_012.wav,AI,AI_DETECTED,0.9,True,bn
ai_bn_013.wav,AI,AI_DETECTED,0.9,True,bn
ai_bn_014.wav,AI,AI_DETECTED,0.9,True,bn
ai_bn_015.wav,AI,AI_DETECTED,0.9,True,bn
ai_bn_016.wav,AI,AI_DETECTED,0.9,True,bn
ai_bn_017.wav,AI,AI_DETECTED,0.9,True,bn
ai_bn_018.wav,AI,AI_DETECTED,0.9,True,bn
